2025-04-14 21:31:04 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-14 21:32:18 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1387
2025-04-14 21:32:18 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-14 21:32:18 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000A
2025-04-14 21:32:18 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-14 21:32:18 | razer                          | INFO     | Serving DBus
2025-04-14 22:44:38 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-15 05:48:00 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1431
2025-04-15 05:48:00 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-15 05:48:00 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000A
2025-04-15 05:48:00 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-15 05:48:00 | razer                          | INFO     | Serving DBus
2025-04-15 05:48:11 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-15 05:50:42 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1383
2025-04-15 05:50:42 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-15 05:50:42 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000A
2025-04-15 05:50:42 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-15 05:50:42 | razer                          | INFO     | Serving DBus
2025-04-15 21:07:09 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-16 09:19:22 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1404
2025-04-16 09:19:22 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-16 09:19:22 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000A
2025-04-16 09:19:22 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-16 09:19:22 | razer                          | INFO     | Serving DBus
2025-04-18 16:40:58 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-20 17:27:53 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1580
2025-04-20 17:27:53 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-20 17:27:53 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000A
